,STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,DATE
42,TN,0.003135,0.070332,0.070146,0.005153,0.003907,0.005216,0.004272,0.010624,0.006382,0.010985,0.06075,0.002396,0.009891,0.004501,0.014881,0.023229,0.008513,0.115262,0.015608,0.003744,0.011932,0.003096,0.009522,0.004929,0.020006,0.145826,0.005813,0.028131,0.00395,0.008427,0.005439,0.005008,0.012759,0.005285,0.004105,0.016171,0.009238,0.002988,0.007529,0.003895,0.024783,0.005649,0.961859,0.005871,0.005247,0.036443,0.005329,0.002013,0.008294,0.019954,0.017498,2020-02-29
43,TX,0.009063,0.018082,0.100046,0.026542,0.012195,0.030287,0.005366,0.01659,0.006238,0.011782,0.012684,0.01423,0.016255,0.017699,0.014134,0.012294,0.033652,0.012849,0.137079,0.006111,0.008797,0.005191,0.007856,0.010207,0.024104,0.035481,0.017267,0.00844,0.01476,0.020398,0.006281,0.007387,0.229153,0.02734,0.006045,0.008993,0.14396,0.009298,0.007369,0.003951,0.00892,0.013926,0.017543,0.991569,0.020105,0.012304,0.005387,0.009382,0.007937,0.009,0.041305,2020-02-29
44,UT,0.003578,0.001214,0.00201,0.011335,0.005908,0.014597,0.001512,0.002852,0.000977,0.001218,0.001804,0.006767,0.006175,0.097125,0.002498,0.002148,0.00353,0.001658,0.001821,0.001293,0.001161,0.00129,0.001308,0.002478,0.002828,0.001199,0.055648,0.00112,0.005656,0.009327,0.001284,0.001254,0.014255,0.042577,0.001653,0.001591,0.002804,0.009298,0.001385,0.001243,0.000893,0.005735,0.0018,0.002024,0.978156,0.001721,0.003388,0.006342,0.001712,0.002009,0.10337,2020-02-29
45,VA,0.002453,0.007431,0.006575,0.003799,0.002546,0.005014,0.014917,0.487819,0.055092,0.009438,0.012982,0.003964,0.004502,0.002847,0.006608,0.008453,0.004472,0.018769,0.005563,0.014648,0.201358,0.013705,0.004996,0.002878,0.005384,0.006472,0.005313,0.066867,0.002801,0.004964,0.015292,0.019201,0.007268,0.004393,0.017012,0.011262,0.004696,0.002585,0.027877,0.017027,0.025935,0.003383,0.03529,0.003891,0.004442,0.967763,0.019201,0.002493,0.003952,0.154434,0.010154,2020-02-29
46,VT,0.000204,0.000374,0.000533,0.000239,0.00018,0.000623,0.030084,0.002044,0.003191,0.000904,0.00047,0.000334,0.000711,0.00036,0.000804,0.000976,0.000592,0.000819,0.000276,0.029311,0.001375,0.013872,0.000685,0.000804,0.000401,0.00066,0.000517,0.001389,0.002622,0.000838,0.100226,0.006491,0.000408,0.000254,0.011976,0.001188,0.000263,0.000186,0.00252,0.013652,0.001076,0.000635,0.000498,0.000145,0.000781,0.002325,0.938921,0.000273,0.001717,0.002879,0.00106,2020-02-29
47,WA,0.076493,0.001178,0.001635,0.006682,0.00657,0.00508,0.001629,0.003351,0.000805,0.001147,0.001193,0.018659,0.002535,0.158427,0.001791,0.001525,0.002129,0.001375,0.001085,0.001875,0.001339,0.002049,0.001487,0.002937,0.001887,0.000922,0.043124,0.001778,0.005997,0.004592,0.001317,0.000933,0.004903,0.010787,0.001116,0.001622,0.002152,0.188262,0.001174,0.00102,0.000849,0.007882,0.001265,0.0016,0.011392,0.001358,0.001767,0.986756,0.002626,0.000862,0.020388,2020-02-29
48,WI,0.002624,0.00234,0.003256,0.003963,0.001125,0.003451,0.002373,0.002947,0.001135,0.003167,0.002389,0.003441,0.04037,0.004002,0.069245,0.012588,0.005124,0.005498,0.001437,0.003057,0.001779,0.003779,0.011924,0.100832,0.006651,0.002803,0.008211,0.001884,0.016897,0.009284,0.003087,0.001751,0.004341,0.004217,0.002129,0.005131,0.00285,0.003357,0.002439,0.001873,0.001669,0.013102,0.004288,0.001481,0.003602,0.002138,0.004141,0.002059,0.976653,0.003867,0.011983,2020-02-29
49,WV,0.000409,0.001841,0.002554,0.000966,0.000295,0.000885,0.003167,0.01659,0.006554,0.001959,0.003302,0.000436,0.002272,0.001128,0.00318,0.00552,0.002407,0.026624,0.001253,0.00217,0.036809,0.001973,0.002375,0.001126,0.0023,0.002028,0.00157,0.008537,0.001329,0.002085,0.002266,0.002561,0.002737,0.001026,0.003054,0.040877,0.001835,0.000687,0.027182,0.002467,0.00822,0.001477,0.00517,0.000879,0.001774,0.03468,0.007675,0.00035,0.00223,0.946481,0.004587,2020-02-29
50,WY,0.000818,0.000565,0.002213,0.002294,0.001133,0.021758,0.000733,0.000404,0.000417,0.000402,0.000827,0.000784,0.004735,0.025674,0.002318,0.002044,0.003003,0.001253,0.000797,0.000365,0.000448,0.000956,0.000569,0.002033,0.002652,0.000793,0.045194,0.000516,0.010971,0.020913,0.000464,0.000447,0.007114,0.004963,0.000548,0.001064,0.002658,0.00552,0.000757,0.000408,0.000556,0.028968,0.001231,0.000905,0.024858,0.000599,0.000956,0.002741,0.001178,0.00083,0.937962,2020-02-29
0,AK,0.990958,5.3e-05,2.3e-05,0.000245,0.00014,0.000219,7e-06,0.0,7.1e-05,6.7e-05,8.1e-05,0.000223,5.6e-05,0.000799,6.2e-05,8.7e-05,9.7e-05,0.000105,7.9e-05,0.0001,4e-05,0.000111,0.00011,0.000252,0.000114,0.0001,0.000842,5.5e-05,0.000136,0.000227,8.2e-05,1.6e-05,7e-05,0.000282,3.2e-05,4.1e-05,0.00012,0.000724,3.2e-05,2.4e-05,4.8e-05,0.000158,6.6e-05,0.000109,0.000355,7e-05,0.0,0.001702,0.000166,8.1e-05,0.000498,2020-07-01
1,AL,0.001174,0.971723,0.034216,0.003386,0.001177,0.00366,0.00181,0.002854,0.002375,0.044138,0.093319,0.000167,0.003779,0.002709,0.007394,0.013009,0.005173,0.031126,0.066608,0.001303,0.00305,0.002295,0.002911,0.001592,0.011846,0.169348,0.005553,0.009387,0.001992,0.003581,0.001604,0.001586,0.00959,0.00273,0.0013,0.007022,0.01081,0.001356,0.003289,0.001412,0.014624,0.003815,0.080699,0.00934,0.003206,0.006453,0.001902,0.001098,0.003,0.007439,0.010397,2020-07-01
2,AR,0.000979,0.011479,0.969676,0.004867,0.001471,0.005452,0.001222,0.001642,0.001861,0.004085,0.004859,0.000112,0.006613,0.003842,0.008339,0.007509,0.016358,0.009915,0.032573,0.000929,0.002021,0.001314,0.002673,0.002291,0.05353,0.040559,0.005072,0.002937,0.003237,0.007624,0.001047,0.001208,0.016316,0.003382,0.001075,0.00408,0.069756,0.001839,0.002874,0.000742,0.003615,0.006226,0.032376,0.016037,0.003915,0.003683,0.00131,0.00104,0.003443,0.004949,0.015844,2020-07-01
3,AZ,0.003875,0.001887,0.005417,0.983599,0.024605,0.013729,0.001249,0.001954,0.001418,0.001525,0.001921,0.000874,0.004691,0.014354,0.004111,0.003621,0.004953,0.002537,0.002807,0.001052,0.00154,0.001369,0.001725,0.002801,0.005164,0.002869,0.013472,0.001523,0.00489,0.007843,0.001278,0.001152,0.064852,0.062371,0.00088,0.002305,0.008706,0.007988,0.00211,0.001125,0.001459,0.007808,0.003316,0.005383,0.036836,0.001942,0.001395,0.006341,0.002751,0.002024,0.02788,2020-07-01
4,CA,0.008416,0.002109,0.004791,0.067259,0.994,0.014538,0.002931,0.004183,0.002535,0.002252,0.002882,0.010785,0.004836,0.034244,0.004539,0.004361,0.005199,0.003379,0.003124,0.002379,0.002861,0.002739,0.002326,0.003628,0.005198,0.003065,0.02558,0.002513,0.004641,0.008953,0.002243,0.002443,0.034286,0.177964,0.002326,0.003135,0.007338,0.052038,0.002847,0.001986,0.002094,0.007966,0.004506,0.005155,0.038714,0.00293,0.002156,0.018471,0.002984,0.002115,0.043841,2020-07-01
5,CO,0.003601,0.001842,0.006467,0.012437,0.004884,0.974748,0.001603,0.001954,0.001524,0.002058,0.00206,0.000874,0.011426,0.021833,0.005531,0.00475,0.027102,0.003337,0.003447,0.001483,0.002058,0.001925,0.002351,0.006089,0.011227,0.002605,0.036566,0.001849,0.012519,0.043008,0.002107,0.001187,0.070486,0.01389,0.00111,0.00295,0.011598,0.007206,0.002304,0.001101,0.001641,0.02965,0.003446,0.006897,0.033091,0.002072,0.002156,0.00533,0.004305,0.002227,0.217771,2020-07-01
6,CT,0.000313,0.000704,0.000857,0.00069,0.000401,0.000868,0.971454,0.006059,0.009748,0.00142,0.001444,7.4e-05,0.001058,0.000755,0.001518,0.002335,0.000751,0.001725,0.000539,0.093885,0.005827,0.032923,0.001043,0.000644,0.001101,0.000724,0.001143,0.002388,0.000657,0.000985,0.039368,0.018285,0.00162,0.000726,0.04497,0.002803,0.000742,0.000445,0.008258,0.185784,0.002353,0.001285,0.0016,0.000407,0.000795,0.004911,0.053813,0.000468,0.000996,0.00337,0.003456,2020-07-01
7,DC,0.000274,0.00027,0.000332,0.000245,0.000213,0.000386,0.001562,0.888164,0.011769,0.000601,0.000699,5.6e-05,0.000385,0.000194,0.000406,0.00048,0.000281,0.000509,0.000241,0.001339,0.121625,0.001129,0.00039,0.000255,0.000241,0.000219,0.000421,0.001926,0.000362,0.000289,0.000924,0.00227,0.000188,0.000417,0.001504,0.000605,0.000225,0.000161,0.003305,0.001556,0.001339,0.000336,0.000535,0.000207,0.000328,0.044843,0.00148,0.000312,0.000313,0.005385,0.000205,2020-07-01
8,DE,0.000196,0.00047,0.000636,0.000314,0.000145,0.000527,0.006243,0.028848,0.931373,0.000919,0.001051,1.9e-05,0.00047,0.000335,0.000682,0.00108,0.000373,0.000838,0.000323,0.003212,0.100735,0.003553,0.00039,0.000283,0.000443,0.000419,0.000501,0.004003,0.000249,0.000375,0.003779,0.029059,0.00054,0.000249,0.005278,0.001661,0.00038,0.000172,0.053929,0.004212,0.002222,0.000395,0.001063,0.000208,0.000322,0.013633,0.003297,0.000169,0.000396,0.00581,0.001142,2020-07-01
9,FL,0.003836,0.125535,0.025446,0.004694,0.002247,0.009145,0.009228,0.012509,0.010422,0.98719,0.107258,0.000632,0.007017,0.003626,0.014231,0.020931,0.007939,0.039361,0.039884,0.009286,0.012468,0.010567,0.008734,0.004748,0.014908,0.054622,0.007257,0.023365,0.004211,0.005794,0.009434,0.008966,0.007911,0.005553,0.007924,0.017689,0.010771,0.002338,0.011549,0.011463,0.031872,0.006068,0.050114,0.009944,0.004388,0.015712,0.009638,0.002514,0.007075,0.017672,0.013208,2020-07-01
10,GA,0.003679,0.120427,0.013999,0.004112,0.002043,0.005578,0.006364,0.011492,0.008791,0.059115,0.97723,0.000669,0.006143,0.004133,0.010221,0.016209,0.006262,0.033139,0.01569,0.004755,0.010607,0.007218,0.007472,0.004042,0.00981,0.030886,0.009061,0.041534,0.004233,0.005943,0.005003,0.006071,0.009696,0.004861,0.00543,0.013543,0.006539,0.002611,0.008912,0.005648,0.12233,0.00593,0.088691,0.005031,0.005899,0.018318,0.005242,0.002183,0.00547,0.017226,0.017835,2020-07-01
11,HI,0.000509,3.9e-05,4.6e-05,0.00016,0.000267,0.000111,1.3e-05,0.000274,0.0,2.8e-05,3.3e-05,0.998048,9e-06,0.00013,2.6e-05,2.5e-05,3.1e-05,4.9e-05,5e-05,2.4e-05,2.9e-05,7.4e-05,2.6e-05,4.5e-05,2.4e-05,5.9e-05,0.00014,2.5e-05,4.5e-05,3.9e-05,2.7e-05,3e-05,9.4e-05,0.000424,4.1e-05,2.4e-05,5.6e-05,0.000284,1.8e-05,4.8e-05,2.6e-05,5.9e-05,3.9e-05,5.2e-05,0.000269,4.1e-05,8.5e-05,0.000379,3.5e-05,1e-05,8.8e-05,2020-07-01
12,IA,0.000861,0.001977,0.006477,0.00367,0.001404,0.011107,0.001536,0.00172,0.001294,0.001357,0.002225,0.000149,0.97125,0.008623,0.045647,0.010149,0.020335,0.005654,0.001779,0.001096,0.001536,0.002646,0.004076,0.047879,0.028291,0.00306,0.01692,0.001809,0.024631,0.214759,0.001808,0.001254,0.007947,0.005997,0.001112,0.00421,0.008087,0.003356,0.002755,0.000957,0.001749,0.141982,0.004671,0.002021,0.008948,0.001966,0.001818,0.00246,0.032934,0.003634,0.049464,2020-07-01
13,ID,0.003797,0.000581,0.001382,0.004665,0.003196,0.005967,0.000374,0.000469,0.000195,0.000444,0.000694,0.000316,0.003055,0.955557,0.001411,0.001456,0.001999,0.001018,0.000618,0.000319,0.000525,0.001018,0.000603,0.002223,0.001873,0.001006,0.101377,0.000487,0.010142,0.005982,0.000503,0.000461,0.005975,0.014166,0.000372,0.000927,0.001787,0.035884,0.000713,0.000215,0.000553,0.010259,0.001046,0.000897,0.074821,0.00064,0.00038,0.070675,0.001529,0.000951,0.100451,2020-07-01
14,IL,0.003171,0.007434,0.018568,0.009048,0.003258,0.015146,0.005682,0.006645,0.004839,0.006822,0.008804,0.000688,0.116073,0.009918,0.979237,0.125172,0.021398,0.041075,0.005392,0.004564,0.006094,0.005274,0.027908,0.020957,0.114899,0.009436,0.020207,0.006102,0.016074,0.025781,0.005492,0.004893,0.016445,0.010838,0.004848,0.01982,0.013103,0.005335,0.01056,0.005217,0.008205,0.029452,0.020849,0.0054,0.011333,0.007791,0.006721,0.004194,0.133207,0.014787,0.052071,2020-07-01
15,IN,0.001918,0.007846,0.011875,0.005129,0.002003,0.007528,0.005422,0.004808,0.005193,0.006546,0.007709,0.000186,0.018485,0.006216,0.126301,0.9686,0.010413,0.161333,0.0044,0.004133,0.006199,0.005108,0.058417,0.009927,0.020486,0.006795,0.012449,0.00682,0.009486,0.013262,0.004527,0.004474,0.011984,0.006764,0.004396,0.067197,0.008794,0.003233,0.010816,0.003805,0.010413,0.016129,0.023385,0.003222,0.006964,0.008556,0.005918,0.002351,0.027119,0.019524,0.035758,2020-07-01
16,KS,0.001135,0.002324,0.013464,0.004239,0.001303,0.026316,0.001102,0.00086,0.000833,0.001436,0.002038,0.000167,0.017903,0.005234,0.006459,0.005416,0.971006,0.004692,0.002545,0.001088,0.001113,0.001073,0.001543,0.005806,0.160853,0.003575,0.00836,0.001375,0.008829,0.054667,0.000843,0.000834,0.014039,0.004222,0.000708,0.002554,0.046476,0.002193,0.001716,0.000574,0.001541,0.02287,0.004259,0.004732,0.006064,0.001664,0.001226,0.001661,0.0039,0.002753,0.030077,2020-07-01
17,KY,0.000939,0.01487,0.011263,0.002682,0.001037,0.004283,0.002891,0.002541,0.002995,0.010414,0.012944,0.000186,0.008117,0.003583,0.026598,0.108798,0.007448,0.958394,0.004975,0.002104,0.004302,0.00248,0.014243,0.004049,0.018416,0.009646,0.007317,0.008868,0.004482,0.006811,0.00246,0.002459,0.00635,0.003436,0.002472,0.085445,0.004868,0.001994,0.006659,0.002345,0.015396,0.00765,0.08393,0.002672,0.003896,0.011539,0.003509,0.001324,0.009127,0.07097,0.017806,2020-07-01
18,LA,0.001057,0.025679,0.039785,0.003497,0.001175,0.003924,0.001062,0.002306,0.001365,0.009117,0.007125,0.000298,0.002049,0.002018,0.002739,0.003153,0.003246,0.004759,0.978807,0.000686,0.0017,0.000833,0.001033,0.000865,0.004991,0.106461,0.002967,0.003173,0.001766,0.002385,0.000829,0.000938,0.011151,0.002528,0.000739,0.001923,0.010803,0.001072,0.001715,0.000814,0.004177,0.002352,0.008338,0.027115,0.002365,0.003077,0.001141,0.000795,0.001149,0.003006,0.007761,2020-07-01
19,MA,0.0009,0.00073,0.001,0.000828,0.000522,0.001265,0.127037,0.006684,0.007409,0.001786,0.001409,0.00026,0.001344,0.000917,0.002134,0.002368,0.001452,0.001811,0.000611,0.978263,0.004941,0.11846,0.001338,0.001082,0.001323,0.000806,0.001323,0.002466,0.000724,0.00111,0.38223,0.009252,0.001244,0.001008,0.014529,0.002992,0.000893,0.000869,0.00688,0.470408,0.002282,0.00166,0.001536,0.000595,0.001156,0.004887,0.104625,0.000719,0.001899,0.003208,0.003368,2020-07-01
20,MD,0.000939,0.002222,0.002796,0.001956,0.000925,0.002522,0.014657,0.696036,0.39067,0.004387,0.004744,0.000186,0.00235,0.00164,0.003604,0.005708,0.00184,0.005781,0.001927,0.009175,0.966966,0.011974,0.002495,0.001292,0.002887,0.002742,0.002386,0.014116,0.001358,0.002307,0.009584,0.026095,0.004014,0.0024,0.012088,0.008376,0.002118,0.00081,0.083094,0.012325,0.010667,0.002273,0.005828,0.001522,0.002286,0.115975,0.01023,0.000821,0.002231,0.120726,0.006267,2020-07-01
21,ME,3.9e-05,0.000229,0.00024,0.000183,9.9e-05,0.000271,0.008166,0.001173,0.001471,0.000365,0.000396,1.9e-05,0.000357,0.000561,0.000361,0.000552,0.000245,0.000397,0.000165,0.035336,0.000956,0.962543,0.000343,0.000276,0.000246,0.00026,0.000341,0.000547,0.000226,0.00043,0.144203,0.001441,0.000235,0.000188,0.001932,0.000682,0.000201,0.00045,0.00145,0.01132,0.000393,0.000336,0.000307,0.000128,0.00021,0.001,0.028619,0.000194,0.000523,0.000698,0.000527,2020-07-01
22,MI,0.00184,0.002394,0.003929,0.00212,0.000902,0.003234,0.003372,0.003596,0.002357,0.002661,0.003442,0.000372,0.006406,0.002676,0.025164,0.063693,0.002719,0.011962,0.001495,0.002467,0.002613,0.003942,0.985873,0.005913,0.005654,0.002414,0.006014,0.003186,0.003962,0.004723,0.002692,0.002206,0.003615,0.002925,0.002811,0.044284,0.002476,0.00126,0.005241,0.002058,0.003781,0.006088,0.006974,0.001427,0.003055,0.003537,0.003255,0.001352,0.024917,0.007338,0.011714,2020-07-01
23,MN,0.002623,0.001106,0.002598,0.002237,0.000858,0.005014,0.001155,0.001173,0.001099,0.001111,0.001475,0.00026,0.060048,0.004986,0.008139,0.005691,0.005654,0.00299,0.001093,0.001108,0.001095,0.001536,0.003881,0.983374,0.005749,0.001353,0.022914,0.001156,0.338155,0.016851,0.001223,0.000821,0.003204,0.002958,0.001186,0.002687,0.003286,0.00223,0.001675,0.00067,0.001157,0.148347,0.002218,0.001144,0.00404,0.001374,0.001268,0.00244,0.090268,0.001974,0.025742,2020-07-01
24,MO,0.002349,0.007959,0.116417,0.007746,0.002519,0.017404,0.002664,0.003088,0.002393,0.004742,0.005801,0.000298,0.061472,0.008958,0.090748,0.020379,0.321191,0.022666,0.00798,0.002132,0.003226,0.002147,0.006337,0.010696,0.970905,0.014446,0.014694,0.003675,0.009893,0.051344,0.00208,0.002077,0.020201,0.007523,0.001812,0.008059,0.050933,0.004412,0.004728,0.001699,0.005345,0.026408,0.019176,0.006968,0.009848,0.004535,0.002832,0.00302,0.011913,0.007905,0.044544,2020-07-01
25,MS,0.000861,0.086032,0.06009,0.003052,0.001038,0.002993,0.001249,0.002306,0.001808,0.01207,0.01153,0.000186,0.003281,0.002655,0.004512,0.004381,0.004974,0.008172,0.13469,0.000785,0.002014,0.001184,0.001644,0.001278,0.012233,0.967097,0.003007,0.003948,0.001902,0.002979,0.000816,0.001093,0.009355,0.002313,0.000741,0.002719,0.01101,0.001099,0.002112,0.000694,0.006046,0.003242,0.079016,0.0096,0.002293,0.003499,0.000719,0.00069,0.00216,0.003785,0.0082,2020-07-01
26,MT,0.002466,0.000444,0.000894,0.002123,0.001351,0.004966,0.000341,0.000195,0.000177,0.000331,0.000565,0.000149,0.002397,0.050821,0.001273,0.001308,0.001508,0.00089,0.000474,0.000239,0.000529,0.000352,0.000631,0.003849,0.001393,0.000606,0.952248,0.000397,0.049647,0.003785,0.000353,0.000307,0.003099,0.004659,0.000272,0.000845,0.001083,0.006069,0.000607,0.000144,0.000442,0.021703,0.000846,0.000607,0.015438,0.000568,0.000465,0.012737,0.002132,0.000749,0.104375,2020-07-01
27,NC,0.002114,0.012462,0.007987,0.003248,0.001701,0.004513,0.011605,0.029317,0.027153,0.016736,0.038417,0.000316,0.005217,0.003119,0.006656,0.012157,0.003967,0.022992,0.006527,0.008282,0.029549,0.01227,0.005978,0.002726,0.006066,0.009477,0.004591,0.977252,0.002128,0.004043,0.010236,0.011997,0.005153,0.004007,0.009265,0.020911,0.004577,0.001587,0.023002,0.009525,0.238913,0.004368,0.045099,0.002851,0.003429,0.111932,0.011371,0.001406,0.005234,0.057104,0.011041,2020-07-01
28,ND,0.000783,0.000149,0.000571,0.000674,0.000212,0.00175,0.000214,0.000274,0.000106,0.000147,0.00022,0.0,0.003553,0.004241,0.001074,0.000916,0.001191,0.000531,0.000223,0.000203,0.000197,0.000333,0.000548,0.051956,0.000909,0.000296,0.042139,0.000201,0.968872,0.004684,0.000313,0.000145,0.000986,0.000874,0.000191,0.000547,0.000813,0.001147,0.000345,9.6e-05,0.000228,0.039849,0.000421,0.000287,0.001419,0.000317,0.000972,0.001336,0.0033,0.000476,0.013618,2020-07-01
29,NE,0.001174,0.001253,0.003961,0.003366,0.001696,0.026542,0.001022,0.000977,0.000904,0.000803,0.00137,7.4e-05,0.105555,0.010911,0.005938,0.004473,0.029086,0.002855,0.001157,0.000793,0.001003,0.00111,0.002018,0.010048,0.012431,0.001794,0.01281,0.000915,0.022412,0.968596,0.001047,0.000871,0.008393,0.007194,0.000793,0.002578,0.006072,0.004209,0.001885,0.001221,0.001068,0.115574,0.002413,0.001595,0.011654,0.001384,0.001564,0.002657,0.005304,0.002328,0.097932,2020-07-01
30,NH,0.000196,0.000243,0.000345,0.000252,0.000158,0.000668,0.021688,0.001603,0.002907,0.000601,0.000507,5.6e-05,0.000385,0.000345,0.00058,0.000785,0.000256,0.000591,0.000187,0.170652,0.001613,0.158397,0.000432,0.000269,0.000343,0.000196,0.000521,0.000915,0.000226,0.000375,0.959681,0.002367,0.000516,0.000255,0.003735,0.001045,0.000295,0.000359,0.002221,0.042096,0.000755,0.000415,0.0005,0.000194,0.000223,0.001487,0.252917,0.000165,0.000543,0.000931,0.001054,2020-07-01
31,NJ,0.00047,0.001526,0.002644,0.001724,0.001173,0.001899,0.044171,0.024001,0.134631,0.00378,0.003636,0.000186,0.002477,0.001835,0.00376,0.004799,0.001999,0.003854,0.001452,0.017931,0.029056,0.017452,0.002261,0.001289,0.002465,0.001835,0.002947,0.007574,0.001358,0.002745,0.014654,0.97882,0.003615,0.002145,0.123077,0.006054,0.001882,0.001163,0.140885,0.022831,0.00698,0.002214,0.004708,0.001164,0.00228,0.015942,0.025744,0.000875,0.002173,0.008816,0.007527,2020-07-01
32,NM,0.001096,0.001974,0.006969,0.025324,0.004691,0.030073,0.001042,0.000782,0.001081,0.001056,0.001588,0.000149,0.003036,0.007501,0.002555,0.002779,0.005822,0.002357,0.003857,0.000618,0.001003,0.000907,0.001074,0.001447,0.00476,0.003083,0.007477,0.001059,0.002332,0.006045,0.000693,0.000874,0.944503,0.013151,0.000583,0.001812,0.014183,0.003206,0.001549,0.000503,0.001074,0.005159,0.002893,0.017186,0.011976,0.001446,0.000592,0.00167,0.001292,0.001741,0.026562,2020-07-01
33,NV,0.002231,0.000955,0.00222,0.032639,0.036316,0.010848,0.000861,0.001876,0.00078,0.001019,0.001306,0.001357,0.004103,0.033737,0.002835,0.002771,0.003246,0.001882,0.001377,0.000805,0.001182,0.000814,0.00149,0.002157,0.00295,0.00122,0.02151,0.001053,0.004777,0.00814,0.000843,0.000788,0.02668,0.957307,0.000782,0.001972,0.003342,0.012476,0.001357,0.000838,0.000895,0.007057,0.001848,0.002493,0.063659,0.001048,0.000761,0.007245,0.001918,0.001184,0.04185,2020-07-01
34,NY,0.001292,0.001957,0.002994,0.001956,0.00142,0.0025,0.152431,0.018763,0.033711,0.004179,0.004372,0.000483,0.003473,0.002471,0.005177,0.006793,0.002106,0.004797,0.0017,0.04088,0.018044,0.038771,0.004348,0.002805,0.003001,0.002418,0.003889,0.007343,0.001856,0.003269,0.033114,0.165996,0.004085,0.002857,0.986571,0.010354,0.002339,0.002348,0.056587,0.043413,0.006963,0.003459,0.004546,0.001355,0.002812,0.01351,0.170697,0.00181,0.003265,0.011781,0.008317,2020-07-01
35,OH,0.001527,0.007007,0.009457,0.004478,0.00183,0.006034,0.009522,0.00903,0.012655,0.007903,0.00924,0.000298,0.011558,0.004792,0.019168,0.08612,0.007116,0.141761,0.003817,0.007218,0.012184,0.010364,0.072009,0.005817,0.011337,0.006494,0.010264,0.012709,0.005547,0.010713,0.008306,0.007948,0.010388,0.005802,0.010059,0.98328,0.006796,0.003035,0.057004,0.006438,0.018069,0.010615,0.022892,0.003085,0.006169,0.014798,0.012682,0.002195,0.01227,0.245582,0.028027,2020-07-01
36,OK,0.001918,0.004917,0.095366,0.009515,0.002606,0.012746,0.001335,0.001212,0.001294,0.002329,0.002859,0.000223,0.011417,0.00572,0.006487,0.005763,0.074867,0.005032,0.008652,0.000961,0.001547,0.001573,0.002095,0.004269,0.03574,0.007141,0.007137,0.002001,0.007041,0.014826,0.001074,0.001164,0.03897,0.006327,0.000969,0.003244,0.974511,0.002579,0.002462,0.000622,0.002305,0.013085,0.006271,0.034972,0.006589,0.002513,0.001353,0.001607,0.003721,0.003806,0.027587,2020-07-01
37,OR,0.009355,0.000482,0.001138,0.004046,0.008733,0.003601,0.000514,0.000547,0.000301,0.000407,0.000607,0.001264,0.001763,0.086543,0.001076,0.0011,0.001452,0.00107,0.000554,0.000674,0.000474,0.00161,0.000475,0.00133,0.001588,0.000656,0.019245,0.000502,0.003192,0.003441,0.000788,0.000475,0.004378,0.012862,0.000464,0.000719,0.00127,0.978302,0.000622,0.000407,0.000473,0.00421,0.001046,0.000865,0.011549,0.000712,0.000761,0.128471,0.001178,0.000628,0.023195,2020-07-01
38,PA,0.001761,0.003635,0.005901,0.003742,0.001424,0.00425,0.026095,0.046322,0.289786,0.005118,0.00609,0.000223,0.005922,0.003659,0.0086,0.013254,0.004192,0.011098,0.002861,0.014615,0.124865,0.021338,0.007656,0.003067,0.006034,0.004153,0.006014,0.013824,0.003486,0.00624,0.01672,0.159897,0.00743,0.004,0.061173,0.0509,0.004464,0.001839,0.975808,0.017064,0.01312,0.005238,0.009381,0.002252,0.004172,0.034651,0.025998,0.001425,0.005208,0.13769,0.016664,2020-07-01
39,RI,0.000196,0.000159,0.000253,0.00017,0.000102,0.000252,0.077611,0.001876,0.002127,0.0004,0.000256,0.00013,0.000212,0.000205,0.000403,0.000451,0.000169,0.000412,0.000111,0.110812,0.001303,0.010253,0.000272,0.000186,0.000205,0.000132,0.00012,0.000499,6.8e-05,0.000305,0.019874,0.002695,0.00027,0.000208,0.003372,0.000602,0.000232,0.000198,0.001567,0.954338,0.000513,0.000336,0.000349,0.000115,0.000177,0.001149,0.013147,0.000146,0.000255,0.000729,0.000849,2020-07-01
40,SC,0.001213,0.011305,0.00527,0.002172,0.000863,0.002388,0.007338,0.012587,0.01191,0.016031,0.073681,0.000279,0.002435,0.001975,0.004963,0.008878,0.002689,0.019494,0.004935,0.004898,0.014683,0.005848,0.003743,0.001599,0.004524,0.007482,0.002807,0.168595,0.001766,0.002588,0.004799,0.00724,0.003803,0.001775,0.005781,0.015208,0.003001,0.001094,0.013073,0.005839,0.965965,0.002451,0.025789,0.002103,0.002089,0.03145,0.005834,0.000932,0.002773,0.036022,0.007029,2020-07-01
41,SD,0.001057,0.000463,0.001594,0.001289,0.000505,0.007198,0.000541,0.000274,0.000301,0.000361,0.000522,5.6e-05,0.042517,0.006162,0.00237,0.001902,0.004723,0.00116,0.000471,0.000299,0.000471,0.000518,0.000922,0.03175,0.003191,0.000797,0.031534,0.000417,0.076361,0.053674,0.00034,0.000237,0.002418,0.001997,0.000322,0.00096,0.001931,0.001507,0.000642,0.000191,0.000447,0.947006,0.00094,0.000594,0.003817,0.000523,0.000634,0.002339,0.005176,0.000891,0.085779,2020-07-01
